make_model_ordinal,price,type_ordinal,warranty_ordinal,mileage,gearbox_ordinal,fuel_type,seller,engine_size,gears,co_emissions,drivetrain,empty_weight,full_service_history,upholstery,previous_owner,energy_efficiency_class,age,power_kW,cons_avg,comfort_&_convenience_Package,num_of_extras,safety_security_package_labeled,entertainment_media_package_labeled,Compact,Convertible,Coupe,Off-Road/Pick-up,Sedan,Station wagon
10.0,64900.0,0.0,0.0,6589.0,1.0,1.0,1.0,1950.0,6.0,132.0,2.0,1845.0,0.0,1.0,1.0,1.0,1.0,143.0,5.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9.0,21000.0,0.0,0.0,172700.0,1.0,1.0,1.0,1461.0,7.0,99.5,1.0,1425.0,0.0,0.0,3.0,0.0,4.0,80.0,3.7,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,67900.0,0.0,0.0,6564.0,1.0,0.0,1.0,1991.0,8.0,162.0,2.0,1555.0,0.0,1.0,1.0,0.0,1.0,310.0,8.4,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,13999.0,0.0,1.0,128644.0,0.0,1.0,1.0,1461.0,5.0,98.0,1.0,1270.0,0.0,0.0,2.0,1.0,8.0,66.0,3.8,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,29990.0,0.0,0.0,120000.0,1.0,0.0,1.0,1991.0,7.0,162.0,2.0,1555.0,0.0,1.0,2.0,0.0,8.0,265.0,7.1,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,8300.0,0.0,1.0,71752.0,1.0,0.0,1.0,2035.0,7.0,179.0,1.0,1275.0,1.0,1.0,2.0,1.0,17.0,100.0,7.6,0.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,32950.0,0.0,1.0,34942.0,1.0,0.0,1.0,1332.0,7.0,121.0,1.0,1275.0,0.0,1.0,2.0,1.0,2.0,120.0,5.3,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9.0,32950.0,0.0,1.0,20124.0,1.0,0.0,1.0,1332.0,7.0,128.0,1.0,1295.0,0.0,1.0,2.0,0.0,2.0,100.0,5.6,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,36900.0,0.0,0.0,11990.0,1.0,0.0,1.0,1332.0,8.0,22.0,1.0,1680.0,0.0,0.0,1.0,1.0,1.0,160.0,1.4,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
11.0,29800.0,0.0,0.0,55226.0,0.0,1.0,1.0,2143.0,7.0,128.0,0.0,1845.0,0.0,1.0,2.0,1.0,6.0,125.0,4.7,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9.0,18390.0,0.0,0.0,63871.0,1.0,0.0,1.0,1595.0,7.0,126.0,1.0,1395.0,0.0,1.0,1.0,0.0,5.0,90.0,5.4,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9.0,25900.0,0.0,0.0,26900.0,0.0,0.0,1.0,1332.0,6.0,126.0,1.0,1350.0,0.0,1.0,2.0,0.0,2.0,100.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9.0,25400.0,0.0,0.0,87700.0,1.0,1.0,1.0,1461.0,7.0,99.5,1.0,1445.0,0.0,1.0,3.0,0.0,4.0,85.0,3.9,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
12.0,29000.0,0.0,1.0,45701.0,1.0,1.0,1.0,1950.0,8.0,136.0,1.0,1485.0,0.0,1.0,2.0,1.0,3.0,110.0,4.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9.0,29900.0,0.0,0.0,52497.0,1.0,0.0,1.0,1332.0,7.0,127.0,1.0,1295.0,1.0,1.0,2.0,0.0,3.0,100.0,5.6,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9.0,14490.0,0.0,0.0,118059.0,0.0,1.0,1.0,1461.0,6.0,98.0,1.0,1295.0,0.0,0.0,2.0,0.0,8.0,80.0,3.8,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9.0,20630.0,0.0,0.0,98258.0,0.0,1.0,1.0,1461.0,6.0,99.5,1.0,1295.0,0.0,0.0,2.0,0.0,3.0,85.0,4.2,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,27500.0,0.0,1.0,11394.0,0.0,0.0,1.0,1332.0,6.0,129.0,1.0,1270.0,0.0,1.0,1.0,1.0,1.0,80.0,5.6,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9.0,8490.0,0.0,0.0,141980.0,1.0,0.0,1.0,1699.0,7.0,173.0,1.0,1295.0,1.0,0.0,1.0,0.0,11.0,85.0,7.3,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9.0,23850.0,0.0,0.0,71098.0,1.0,1.0,1.0,1461.0,7.0,99.5,1.0,1425.0,0.0,0.0,3.0,0.0,4.0,80.0,3.7,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
6.0,35500.0,0.0,0.0,26000.0,1.0,0.0,1.0,1991.0,7.0,141.0,1.0,1450.0,0.0,1.0,2.0,1.0,3.0,140.0,6.1,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9.0,29900.0,0.0,0.0,26500.0,1.0,1.0,1.0,1461.0,7.0,99.5,1.0,1445.0,0.0,0.0,1.0,0.0,1.0,85.0,3.9,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9.0,25900.0,0.0,0.0,43987.0,1.0,1.0,1.0,1461.0,7.0,99.5,1.0,1445.0,0.0,0.0,2.0,0.0,3.0,85.0,3.9,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9.0,16700.0,0.0,0.0,139000.0,1.0,1.0,1.0,1461.0,7.0,99.5,1.0,1425.0,0.0,0.0,2.0,0.0,6.0,80.0,3.7,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9.0,23850.0,0.0,0.0,71098.0,1.0,1.0,1.0,1461.0,7.0,99.5,1.0,1425.0,0.0,0.0,3.0,0.0,4.0,80.0,3.7,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9.0,27460.0,0.0,1.0,58813.0,1.0,0.0,1.0,1332.0,7.0,124.0,1.0,1350.0,1.0,1.0,2.0,0.0,2.0,100.0,5.4,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,17399.0,0.0,0.0,100640.0,0.0,1.0,1.0,1796.0,6.0,101.5,1.0,1445.0,0.0,1.0,2.0,1.0,9.0,100.0,4.3,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,23999.0,0.0,0.0,100000.0,1.0,1.0,1.0,2143.0,7.0,101.5,1.0,1475.0,0.0,1.0,2.0,1.0,6.0,100.0,4.1,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9.0,20630.0,0.0,0.0,98258.0,0.0,1.0,1.0,1461.0,6.0,99.5,1.0,1295.0,0.0,1.0,2.0,0.0,3.0,85.0,4.2,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9.0,21000.0,0.0,0.0,172700.0,1.0,1.0,1.0,1461.0,7.0,99.5,1.0,1425.0,0.0,1.0,3.0,0.0,4.0,80.0,3.7,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9.0,29900.0,0.0,0.0,68900.0,1.0,1.0,1.0,1461.0,7.0,99.5,1.0,1455.0,0.0,1.0,2.0,0.0,3.0,85.0,3.9,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,27999.0,0.0,1.0,41272.0,1.0,0.0,1.0,1332.0,7.0,126.0,1.0,1275.0,0.0,1.0,3.0,1.0,4.0,120.0,5.3,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9.0,25600.0,0.0,0.0,49600.0,1.0,1.0,1.0,1461.0,7.0,99.5,1.0,1445.0,0.0,1.0,3.0,0.0,4.0,85.0,3.9,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9.0,26850.0,0.0,0.0,28330.0,1.0,0.0,1.0,1332.0,7.0,126.0,1.0,1365.0,0.0,1.0,2.0,0.0,2.0,100.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,44785.0,0.0,1.0,9000.0,1.0,0.0,1.0,1332.0,8.0,0.0,1.0,1680.0,1.0,0.0,2.0,1.0,2.0,173.0,1.4,2.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9.0,25990.0,0.0,1.0,67626.0,1.0,0.0,1.0,1332.0,7.0,121.0,1.0,1295.0,1.0,0.0,1.0,0.0,2.0,100.0,5.3,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,34995.0,0.0,0.0,8828.0,1.0,1.0,1.0,1950.0,8.0,101.5,2.0,1555.0,0.0,1.0,1.0,1.0,2.0,110.0,4.6,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9.0,27800.0,0.0,0.0,61618.0,1.0,1.0,1.0,1461.0,7.0,99.5,1.0,1425.0,0.0,0.0,3.0,0.0,4.0,80.0,3.7,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9.0,29999.0,0.0,1.0,17115.0,1.0,0.0,1.0,1332.0,7.0,126.0,1.0,1295.0,0.0,0.0,1.0,0.0,2.0,100.0,5.3,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
